Area(SQM),Bedroom,Bathroom,Location,Price,Negotiable,Balcony,Electricity,Water,Gas,Landline,Elevator,Security,Built_in_Kitchen,Maids_Room,Private_Garden,Parking,Central(A/C)& heating,Pool,Type,Level,Furnished,Compound,Delivery_Date,Delivery_Term,meter_price
110,2,2,Nakheel,375000,1,1,1,1,0,0,0,1,0,1,0,0,0,1,Apartment,3,0.0,Nakheel,Ready,Finished,3409.090909090909
100,2,1,Nakheel,250000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,1,0.0,Nakheel,Ready,Finished,2500.0
90,2,1,Abu Qir,400000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,1,1.0,Not_In_Compound,Ready,Finished,4444.444444444444
165,3,2,Kafr Abdo,3700000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Apartment,2,0.0,Not_In_Compound,2025,Core & Shell,22424.242424242424
85,3,1,Sidi Beshr,260000,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,6,0.0,Not_In_Compound,Ready,Finished,3058.823529411765
140,3,2,Miami,500000,0,1,1,1,1,0,0,1,0,0,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,Ready,Finished,3571.4285714285716
120,2,1,Nakheel,320000,1,1,1,1,1,1,1,1,0,1,0,0,0,1,Apartment,3,1.0,Not_In_Compound,Ready,Finished,2666.6666666666665
165,3,3,Kafr Abdo,2450000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,5,0.0,Not_In_Compound,Ready,Not Finished,14848.484848484848
175,3,2,Smoha,2200000,0,1,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,9,0.0,Not_In_Compound,Ready,Finished,12571.42857142857
120,2,2,Sidi Beshr,1900000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,4,1.0,Not_In_Compound,Ready,Finished,15833.333333333334
168,3,2,Smoha,2300000,1,0,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,9,0.0,Not_In_Compound,Ready,Finished,13690.47619047619
100,2,1,Nakheel,320000,0,1,1,1,0,0,1,1,0,0,0,0,0,0,Apartment,10,0.0,Nakheel,Ready,Finished,3200.0
80,2,1,Seyouf,400000,0,1,1,1,1,0,1,1,0,0,0,1,0,0,Apartment,10,0.0,Not_In_Compound,Ready,Finished,5000.0
180,4,2,Manshiyya,1300000,1,1,1,1,1,0,1,0,1,0,0,0,0,0,Apartment,10,0.0,Not_In_Compound,Ready,Finished,7222.222222222223
130,3,2,Agami,550000,0,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,4230.7692307692305
90,2,1,Mandara,550000,0,0,1,1,1,1,1,0,0,0,0,0,0,0,Apartment,1,1.0,Not_In_Compound,Ready,Finished,6111.111111111111
120,2,1,Seyouf,800000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,7,0.0,Not_In_Compound,Ready,Finished,6666.666666666667
120,3,1,Nakheel,370000,1,1,1,1,0,1,1,1,0,1,0,0,0,0,Apartment,8,0.0,Not_In_Compound,Ready,Finished,3083.3333333333335
240,4,2,Nakheel,450000,1,1,1,1,0,1,1,1,0,1,0,0,0,0,Duplex,5,0.0,Not_In_Compound,Ready,Finished,1875.0
110,2,1,Nakheel,290000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,2636.3636363636365
112,3,2,Abu Qir,300000,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,5,1.0,Not_In_Compound,Ready,Finished,2678.5714285714284
150,3,1,Agami,400000,1,1,1,1,0,1,1,1,0,0,0,1,0,0,Apartment,1,0.0,Not_In_Compound,Ready,Finished,2666.6666666666665
75,3,1,Moharam Bik,525000,1,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,7000.0
70,1,1,Mandara,570000,0,0,1,1,1,1,1,1,0,0,0,1,0,0,Apartment,5,0.0,Not_In_Compound,Ready,Finished,8142.857142857143
90,1,1,Agami,425000,0,0,1,1,0,0,0,0,1,0,0,0,0,0,Apartment,2,1.0,Not_In_Compound,Ready,Finished,4722.222222222223
85,2,1,Nakheel,270000,1,1,1,0,1,1,1,1,0,0,0,0,0,0,Apartment,4,0.0,Nakheel,Ready,Finished,3176.470588235294
110,2,1,Nakheel,260000,1,1,1,1,0,1,0,1,0,1,0,0,0,0,Apartment,2,0.0,Not_In_Compound,Ready,Finished,2363.6363636363635
180,3,2,Smoha,2700000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,Ready,Finished,15000.0
90,2,1,Nakheel,245000,1,1,1,1,0,0,1,1,0,1,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,2722.222222222222
150,2,2,Smoha,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,8,0.0,Not_In_Compound,Ready,Finished,13333.333333333334
112,2,1,Smoha,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,6,0.0,Not_In_Compound,Ready,Finished,13392.857142857143
75,2,1,Seyouf,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,7,1.0,Not_In_Compound,Ready,Finished,9333.333333333334
120,3,1,Nakheel,315000,1,1,1,1,0,0,1,1,0,0,0,0,0,0,Apartment,1,0.0,Not_In_Compound,Ready,Finished,2625.0
100,2,1,Nakheel,260000,1,1,1,0,1,0,1,1,0,0,0,0,0,0,Apartment,1,0.0,Nakheel,Ready,Finished,2600.0
165,3,2,Sporting,2600000,1,0,1,1,1,1,1,1,1,0,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,Ready,Finished,15757.575757575758
80,2,1,Seyouf,410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,8,0.0,Not_In_Compound,Ready,Finished,5125.0
115,3,1,Moharam Bik,975000,0,1,1,1,0,0,1,1,0,0,0,1,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,8478.260869565218
130,3,2,Smoha,1050000,1,1,1,1,0,0,1,1,0,0,0,1,0,0,Apartment,8,0.0,Not_In_Compound,Ready,Semi Finished,8076.923076923077
180,3,2,Laurent,2200000,1,1,1,1,1,0,1,1,1,0,0,1,1,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,12222.222222222223
150,2,1,Seyouf,990000,0,1,1,1,0,0,1,1,1,0,0,1,0,0,Apartment,7,0.0,Not_In_Compound,Ready,Finished,6600.0
120,3,2,Nakheel,680000,1,1,1,1,0,1,1,1,0,1,0,1,0,1,Apartment,3,0.0,Not_In_Compound,Ready,Finished,5666.666666666667
110,2,1,Agami,340000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,3090.909090909091
120,3,1,Nakheel,440000,1,1,1,1,0,1,1,1,0,1,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,3666.6666666666665
90,2,1,Nakheel,390000,1,1,1,1,0,1,1,0,0,1,0,1,0,1,Apartment,5,0.0,Not_In_Compound,Ready,Finished,4333.333333333333
150,3,1,Nakheel,280000,1,1,1,1,0,1,0,1,0,1,1,0,0,0,Apartment,5,0.0,Not_In_Compound,Ready,Finished,1866.6666666666667
130,3,1,Nakheel,330000,1,1,1,1,0,1,0,1,0,1,0,0,0,0,Apartment,1,0.0,Not_In_Compound,Ready,Finished,2538.4615384615386
130,3,2,Agami,850000,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Apartment,1,1.0,Not_In_Compound,Ready,Finished,6538.461538461538
135,3,2,Smoha,2600000,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,19259.25925925926
120,3,1,Nakheel,300000,1,1,1,1,0,0,1,1,0,1,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,2500.0
145,3,2,Sidi Beshr,3400000,1,1,1,1,1,1,0,1,1,0,0,1,1,0,Apartment,7,1.0,Not_In_Compound,Ready,Finished,23448.275862068964
120,3,1,Nakheel,310000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,3,0.0,Nakheel,Ready,Finished,2583.3333333333335
100,2,1,Schutz,570000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10,0.0,Not_In_Compound,Ready,Finished,5700.0
125,3,1,Miami,1500000,0,1,1,1,1,1,1,1,1,0,0,1,1,0,Apartment,8,0.0,Not_In_Compound,Ready,Finished,12000.0
